,Exidelw,Exideuw,Call
164,213.02380952380958,217.78823529411767,Sell
165,212.1666666666667,217.30000000000004,Sell
166,211.33095238095243,216.7794117647059,Sell
167,210.57619047619053,216.37352941176476,Sell
168,209.79285714285717,215.87647058823532,Sell
169,209.23809523809527,215.40294117647065,Sell
170,208.92857142857147,214.6132352941177,Sell
171,209.13333333333335,214.05,Sell
172,209.45,213.56470588235297,Sell
173,209.87380952380954,213.29558823529416,Sell
174,210.0952380952381,213.09852941176473,Sell
175,210.39761904761906,212.8338235294118,Sell
176,210.61190476190478,212.6882352941177,Sell
177,210.66666666666666,212.12941176470594,Sell
178,210.47142857142856,211.6323529411765,Sell
179,210.51190476190476,211.2602941176471,Sell
180,210.84999999999997,211.00882352941179,Sell
181,211.15714285714282,210.83382352941177,Buy
182,211.40476190476187,210.7294117647059,Buy
183,212.1619047619047,211.04999999999998,Buy
184,212.6809523809523,211.52352941176468,Buy
185,213.25476190476184,212.09705882352938,Buy
186,214.19285714285706,212.8205882352941,Buy
187,215.40952380952373,213.49999999999997,Buy
188,216.42619047619038,214.1676470588235,Buy
189,217.81904761904752,214.84705882352935,Buy
190,219.29047619047608,215.62647058823524,Buy
191,220.86428571428561,216.33235294117642,Buy
192,222.12857142857132,217.04558823529408,Buy
193,223.61190476190464,217.96764705882347,Buy
194,224.76190476190465,218.7411764705882,Buy
195,225.9976190476189,219.6073529411764,Buy
196,227.3785714285713,220.69117647058818,Buy
197,228.5571428571427,221.6397058823529,Buy
198,229.94523809523798,222.58088235294113,Buy
199,231.55714285714276,223.6088235294117,Buy
200,233.0142857142856,224.65294117647053,Buy
201,234.34523809523802,225.68970588235288,Buy
202,235.5071428571428,226.71617647058818,Buy
203,236.84523809523805,227.78088235294112,Buy
204,237.8333333333333,228.90294117647053,Buy
205,239.13095238095235,230.05147058823525,Buy
206,240.3428571428571,231.17794117647054,Buy
207,241.28333333333327,232.22058823529406,Buy
208,242.0047619047619,233.20882352941172,Buy
209,242.8452380952381,234.20882352941172,Buy
210,244.0904761904762,235.52499999999992,Buy
211,245.44523809523812,237.1073529411764,Buy
212,246.54761904761904,238.6147058823529,Buy
213,247.68809523809523,240.00735294117644,Buy
214,248.6547619047619,241.3176470588235,Buy
215,249.67857142857142,242.53382352941176,Buy
216,250.46428571428572,243.73235294117646,Buy
217,251.01666666666665,244.68970588235297,Buy
218,251.78095238095236,245.78970588235296,Buy
219,252.32619047619045,246.71323529411765,Buy
220,252.45476190476188,247.24117647058824,Buy
221,252.71428571428572,247.69411764705885,Buy
222,252.89285714285714,248.21323529411765,Buy
223,252.96666666666667,248.425,Buy
224,253.6142857142857,248.9808823529412,Buy
