,ExideCP,ExideStd,ADSP,Exideup,Exidelw
126,203.08571428571423,3.5675583425470685,206.66,210.22083097080838,195.95059760062009
127,203.3928571428571,3.4170307141001044,203.81,210.22691857105733,196.5587957146569
128,203.86071428571427,2.7001551644474735,202.96,209.26102461460923,198.4604039568193
129,204.2035714285714,2.0857081702464897,203.37,208.37498776906438,200.0321550880784
130,204.2785714285714,1.975690170131951,202.13,208.22995176883532,200.3271910883075
131,204.64642857142854,1.8434357852959786,205.28,208.3333001420205,200.95955700083658
132,204.7535714285714,1.8022917340180473,205.5,208.3581548966075,201.14898796053532
133,204.8785714285714,1.6991756242961056,205.09,208.2769226771636,201.4802201799792
134,204.83214285714286,1.6985975145654084,205.34,208.22933788627367,201.43494782801204
135,204.65714285714287,1.627156219495119,204.7,207.9114552961331,201.40283041815263
136,204.5464285714286,1.5542082186172796,204.78,207.65484500866316,201.43801213419405
137,204.56428571428575,1.5899236279964675,206.57,207.74413297027868,201.3844384582928
138,205.1178571428572,3.0307784696134323,211.7,211.17941408208407,199.05630020363031
139,205.83214285714288,4.02791256984729,216.82,213.88796799683746,197.7763177174483
140,207.00000000000003,5.731324185830093,220.6,218.4626483716602,195.53735162833985
141,208.17857142857147,6.646158933657277,220.58,221.47088929588602,194.88625356125692
142,209.475,7.210055745010411,221.23,223.8951114900208,195.05488850997918
143,210.65714285714287,7.325478643927717,220.0,225.30810014499832,196.00618556928742
144,211.8714285714286,7.187749040119572,219.38,226.24692665166774,197.49593049118945
145,213.08214285714286,7.610357495465936,222.37,228.30285784807472,197.861427866211
146,214.15,7.404935983726002,221.58,228.95987196745202,199.340128032548
147,215.3892857142857,7.083517666207635,220.22,229.556321046701,201.22225038187042
148,216.73214285714283,6.638628424805848,224.02,230.00939970675452,203.45488600753114
149,218.01428571428568,5.686807559587603,222.46,229.3879008334609,206.64067059511046
150,219.6071428571428,4.746085720921167,224.8,229.09931429898515,210.11497141530046
151,220.89999999999992,3.534228236938175,226.31,227.96845647387627,213.83154352612357
152,221.6714285714285,3.1394336998964727,225.84,227.95029597122144,215.39256117163555
153,222.26785714285705,2.515995531888942,224.12,227.29984820663495,217.23586607907916
154,222.45357142857137,2.527043292505962,224.27,227.5076580135833,217.39948484355943
155,222.73214285714275,2.486007545540649,224.2,227.70415794822404,217.76012776606146
